1184436 Tucker, Jonathan
99021 Bernhardt, Daniel
570235 Jones, Jimmie
93297 Bennett, Jimmy
207125 Chiu, Man Cheuk
262288 Daniels, Gary
393993 Futterman, Dan
60134 Bailey, Eion
1178677 Trese, Adam
1126019 Strong, Rider
398367 Gallardo, Carlos
512545 Hoffman, Dustin
247093 Cronkite, Walter
796515 Modine, Matthew
231494 Coogan, Steve
877984 Owen, Clive
1127573 Sturgess, Jim
133400 Bradley, John
104883 Biehn, Michael
519392 Hopkins, Anthony
532566 Hurt, John
144918 Brooks, Terron
1084072 Sizemore, Tom
1207211 Vaughn, Vince
1150152 Taylor, Clayton
609127 King, Benjamin
452478 Gruffudd, Ioan
757432 McCormack, Eric
667381 Lee, William Gregory
276151 De Niro, Robert
867797 Oliver, Levi
1055265 Seldon, Kevin
564279 Johnson, Aaron
890721 Parker, Trey
361995 Ferrell, Will
447414 Grenier, Adrian
660118 Lawrence, Martin
1057785 Serbedzija, Rade
798542 Molina, Alfred
125474 Borrego, Jesse
326592 Echevarría, Emilio
393354 Furlong, Edward
1103051 Spano, Vincent
489234 Hayes, Sean
77383 Basis, Austin
30152 Anderson, Christian S.
261705 Dangerfield, Rodney
220273 Coburn, James
179838 Carlyle, Robert
448963 Griffith, Thomas Ian
1011715 Russell, Kurt
1157844 Theroux, Justin
1212528 Verástegui, Eduardo
560780 Jeter, Michael
169936 Caltabiano, Tom
648415 Lambert, Christopher
757115 McConaughey, Matthew
190899 Cavanagh, Tom
186975 Cassavetes, Nick
910902 Peterson, Jeff
64082 Baldwin, William
813711 Moseley, Bill
394503 Fürmann, Benno
486420 Hauer, Rutger
830383 Naji, Mohammad Amir
257499 Dacascos, Mark
52816 Auteuil, Daniel
1250858 Whitaker, Nick
209356 Christensen, Hayden
1050984 Scott, Seann William
1118895 Stewart, James
133094 Bradford, Jesse
1274146 Worthington, Sam
185166 Casablanca, Ted
807024 Moranis, Rick
115757 Bluhm, Brady
524506 Howell, C. Thomas
754457 McAvoy, James
363934 Field, Todd
724270 Mancini, Ray 'Boom Boom'
757910 McCoy, Matt
663562 LeBlanc, Matt
158995 Burns, Brian
266162 Davi, Robert
182177 Carrey, Jim
483279 Hartnett, Josh
140460 Bridges, Jeff
288452 Depardieu, Gérard
459770 Guttenberg, Steve
349544 Fagundes, Antônio
892710 Paré, Michael
715035 Madrigal, Andrew
861447 O'Shea, Niall
1163272 Thornton, Billy Bob
349966 Fairbrass, Craig
173971 Candy, John
748541 Matthew, James
808493 Moret, Jim
533367 Hutcherson, Josh
96637 Bergin, Patrick
1119872 Stiller, Ben
1027569 Sandler, Adam
512756 Hoffman, Philip Seymour
68621 Bararra, Art
709601 Maas, Mike
592858 Kaye, Paul
30221 Anderson, Daniel
142586 Broadbent, Jim
25273 Alvarez, Irineo
838426 Nelson, Joshua
817245 Muallem, Melkar
59019 Bagby, Larry
1289144 Zagarino, Frank
1048459 Schwimmer, David
57603 Bacic, Steve
986515 Robertson, Michael
958712 Rasuk, Victor
448106 Grieco, Richard
118660 Bogomaz, Dimitrii
322308 Duvall, Robert
876022 Oswalt, Patton
344617 Estevez, Joe
1102623 Spader, James
675323 Letterle, Daniel
886412 Pantoliano, Joe
1235403 Warden, Jack
648095 Lamas, Lorenzo
977481 Rickman, Alan
550250 Jaenicke, Hannes
441352 Grant, Hugh
37038 Antonio, Alejandro
94919 Benzino, Ray
151557 Bryant, Kobe
850837 Nolte, Nick
420715 Gillies, Daniel
45545 Arrowsmith, Martin
393993 Futterman, Dan
594271 Keegan, Andrew
297238 Diggs, Taye
809515 Morgan, Trevor
279644 DeBoe, Alex
480368 Harris, Jared
420294 Gillen, Aidan
62909 Bakula, Scott
9006 Agashe, Mohan
842819 Ngamdee, Jaran
